seed,dimension,family,trial,translation_error,relative_error,additive_control_shift
0,5,random,19,1.7763568394002505e-15,2.220446049250313e-15,0.47723565656168176
0,8,simplex,0,0.0,4.440892098500626e-15,4.760801788906235
0,8,simplex,1,3.552713678800501e-15,7.105427357601002e-15,3.8021530983463663
0,8,simplex,2,3.552713678800501e-15,1.7763568394002505e-15,3.328112895827971
0,8,simplex,3,1.7763568394002505e-15,0.0,3.50060315973208
0,8,simplex,4,1.7763568394002505e-15,1.7763568394002505e-15,3.5133520149617823
0,8,simplex,5,2.220446049250313e-15,1.7763568394002505e-15,3.3706394771538584
0,8,simplex,6,5.329070518200751e-15,0.0,0.9133383994999491
0,8,simplex,7,8.881784197001252e-16,2.6645352591003757e-15,5.408087946799668
0,8,simplex,8,8.881784197001252e-16,3.552713678800501e-15,4.65600895394342
0,8,simplex,9,7.105427357601002e-15,7.105427357601002e-15,3.4515191368150937
0,8,simplex,10,5.329070518200751e-15,5.329070518200751e-15,1.5503771256687173
0,8,simplex,11,2.220446049250313e-16,3.9968028886505635e-15,3.461296116104208
0,8,simplex,12,3.552713678800501e-15,0.0,5.293168303509987
0,8,simplex,13,1.7763568394002505e-15,5.329070518200751e-15,3.0880071209438213
0,8,simplex,14,8.881784197001252e-16,2.6645352591003757e-15,8.219320082947291
0,8,simplex,15,0.0,3.552713678800501e-15,5.550690890869063
0,8,simplex,16,3.552713678800501e-15,1.7763568394002505e-15,4.742211308981467
0,8,simplex,17,3.1086244689504383e-15,3.1086244689504383e-15,0.1032220800746444
0,8,simplex,18,0.0,2.6645352591003757e-15,3.294568405695898
0,8,simplex,19,3.552713678800501e-15,0.0,3.767538056879104
0,8,random,0,1.7763568394002505e-15,0.0,4.39771617899892
0,8,random,1,3.552713678800501e-15,3.552713678800501e-15,2.6943407191714357
0,8,random,2,5.329070518200751e-15,2.6645352591003757e-15,5.0098911609137815
0,8,random,3,8.881784197001252e-16,8.881784197001252e-16,1.7308519675263625
0,8,random,4,3.552713678800501e-15,0.0,0.6800100174300354
0,8,random,5,1.7763568394002505e-15,5.329070518200751e-15,1.3210872031044119
